Optymalny wynik,Optymalna scieżka,Otrzymany wynik,Otrzymana scieżka,Czas wykonania,Blad bezwzgledny,Blad wzgledny (liczbowo),Blad wzgledny (procentowo)
\Dane\SYM30\GRAF8_30.txt, bfs,false
30867,,30867,1-5-4-7-3-2-8-6-1,306500.000000,0.000000,0.000000,0.000000%
30867,,30867,1-5-4-7-3-2-8-6-1,312700.000000,0.000000,0.000000,0.000000%
30867,,30867,1-5-4-7-3-2-8-6-1,305800.000000,0.000000,0.000000,0.000000%
30867,,30867,1-5-4-7-3-2-8-6-1,307500.000000,0.000000,0.000000,0.000000%
30867,,30867,1-5-4-7-3-2-8-6-1,305700.000000,0.000000,0.000000,0.000000%
30867,,30867,1-5-4-7-3-2-8-6-1,321600.000000,0.000000,0.000000,0.000000%
30867,,30867,1-5-4-7-3-2-8-6-1,307100.000000,0.000000,0.000000,0.000000%
30867,,30867,1-5-4-7-3-2-8-6-1,306400.000000,0.000000,0.000000,0.000000%
30867,,30867,1-5-4-7-3-2-8-6-1,305700.000000,0.000000,0.000000,0.000000%
30867,,30867,1-5-4-7-3-2-8-6-1,309200.000000,0.000000,0.000000,0.000000%
\Dane\SYM30\GRAF9_30.txt, bfs,false
23923,,23923,1-2-9-8-3-7-4-6-5-1,1936400.000000,0.000000,0.000000,0.000000%
23923,,23923,1-2-9-8-3-7-4-6-5-1,1907000.000000,0.000000,0.000000,0.000000%
23923,,23923,1-2-9-8-3-7-4-6-5-1,1906600.000000,0.000000,0.000000,0.000000%
23923,,23923,1-2-9-8-3-7-4-6-5-1,1905600.000000,0.000000,0.000000,0.000000%
23923,,23923,1-2-9-8-3-7-4-6-5-1,2034900.000000,0.000000,0.000000,0.000000%
23923,,23923,1-2-9-8-3-7-4-6-5-1,1900100.000000,0.000000,0.000000,0.000000%
23923,,23923,1-2-9-8-3-7-4-6-5-1,1901900.000000,0.000000,0.000000,0.000000%
23923,,23923,1-2-9-8-3-7-4-6-5-1,1902300.000000,0.000000,0.000000,0.000000%
23923,,23923,1-2-9-8-3-7-4-6-5-1,1909000.000000,0.000000,0.000000,0.000000%
23923,,23923,1-2-9-8-3-7-4-6-5-1,1908600.000000,0.000000,0.000000,0.000000%
\Dane\SYM30\GRAF10_30.txt, bfs,false
24562,,24562,1-8-5-3-2-9-4-6-7-10-1,6027400.000000,0.000000,0.000000,0.000000%
24562,,24562,1-8-5-3-2-9-4-6-7-10-1,6022900.000000,0.000000,0.000000,0.000000%
24562,,24562,1-8-5-3-2-9-4-6-7-10-1,6032600.000000,0.000000,0.000000,0.000000%
24562,,24562,1-8-5-3-2-9-4-6-7-10-1,6003100.000000,0.000000,0.000000,0.000000%
24562,,24562,1-8-5-3-2-9-4-6-7-10-1,6003000.000000,0.000000,0.000000,0.000000%
24562,,24562,1-8-5-3-2-9-4-6-7-10-1,6025200.000000,0.000000,0.000000,0.000000%
24562,,24562,1-8-5-3-2-9-4-6-7-10-1,6020200.000000,0.000000,0.000000,0.000000%
24562,,24562,1-8-5-3-2-9-4-6-7-10-1,6010100.000000,0.000000,0.000000,0.000000%
24562,,24562,1-8-5-3-2-9-4-6-7-10-1,6114900.000000,0.000000,0.000000,0.000000%
24562,,24562,1-8-5-3-2-9-4-6-7-10-1,6007900.000000,0.000000,0.000000,0.000000%
\Dane\SYM30\GRAF11_30.txt, bfs,false
40077,,40077,1-4-2-10-8-9-3-7-11-6-5-1,740400.000000,0.000000,0.000000,0.000000%
40077,,40077,1-4-2-10-8-9-3-7-11-6-5-1,749900.000000,0.000000,0.000000,0.000000%
40077,,40077,1-4-2-10-8-9-3-7-11-6-5-1,742900.000000,0.000000,0.000000,0.000000%
40077,,40077,1-4-2-10-8-9-3-7-11-6-5-1,738200.000000,0.000000,0.000000,0.000000%
40077,,40077,1-4-2-10-8-9-3-7-11-6-5-1,736200.000000,0.000000,0.000000,0.000000%
40077,,40077,1-4-2-10-8-9-3-7-11-6-5-1,738300.000000,0.000000,0.000000,0.000000%
40077,,40077,1-4-2-10-8-9-3-7-11-6-5-1,742100.000000,0.000000,0.000000,0.000000%
40077,,40077,1-4-2-10-8-9-3-7-11-6-5-1,738800.000000,0.000000,0.000000,0.000000%
40077,,40077,1-4-2-10-8-9-3-7-11-6-5-1,749900.000000,0.000000,0.000000,0.000000%
40077,,40077,1-4-2-10-8-9-3-7-11-6-5-1,745200.000000,0.000000,0.000000,0.000000%
\Dane\SYM30\GRAF12_30.txt, bfs,false
39712,,39712,1-5-6-11-7-3-9-2-4-12-10-8-1,3746800.000000,0.000000,0.000000,0.000000%
39712,,39712,1-5-6-11-7-3-9-2-4-12-10-8-1,3745900.000000,0.000000,0.000000,0.000000%
39712,,39712,1-5-6-11-7-3-9-2-4-12-10-8-1,3759000.000000,0.000000,0.000000,0.000000%
39712,,39712,1-5-6-11-7-3-9-2-4-12-10-8-1,3751900.000000,0.000000,0.000000,0.000000%
39712,,39712,1-5-6-11-7-3-9-2-4-12-10-8-1,3744600.000000,0.000000,0.000000,0.000000%
39712,,39712,1-5-6-11-7-3-9-2-4-12-10-8-1,3760200.000000,0.000000,0.000000,0.000000%
39712,,39712,1-5-6-11-7-3-9-2-4-12-10-8-1,3747900.000000,0.000000,0.000000,0.000000%
39712,,39712,1-5-6-11-7-3-9-2-4-12-10-8-1,3748000.000000,0.000000,0.000000,0.000000%
39712,,39712,1-5-6-11-7-3-9-2-4-12-10-8-1,3757800.000000,0.000000,0.000000,0.000000%
39712,,39712,1-5-6-11-7-3-9-2-4-12-10-8-1,3742400.000000,0.000000,0.000000,0.000000%
\Dane\SYM60\GRAF8_60.txt, bfs,false
22264,,22264,1-4-8-3-2-7-5-6-1,935500.000000,0.000000,0.000000,0.000000%
22264,,22264,1-4-8-3-2-7-5-6-1,882700.000000,0.000000,0.000000,0.000000%
22264,,22264,1-4-8-3-2-7-5-6-1,878000.000000,0.000000,0.000000,0.000000%
22264,,22264,1-4-8-3-2-7-5-6-1,878300.000000,0.000000,0.000000,0.000000%
22264,,22264,1-4-8-3-2-7-5-6-1,876700.000000,0.000000,0.000000,0.000000%
22264,,22264,1-4-8-3-2-7-5-6-1,881000.000000,0.000000,0.000000,0.000000%
22264,,22264,1-4-8-3-2-7-5-6-1,878700.000000,0.000000,0.000000,0.000000%
22264,,22264,1-4-8-3-2-7-5-6-1,877300.000000,0.000000,0.000000,0.000000%
22264,,22264,1-4-8-3-2-7-5-6-1,920000.000000,0.000000,0.000000,0.000000%
22264,,22264,1-4-8-3-2-7-5-6-1,924000.000000,0.000000,0.000000,0.000000%
\Dane\SYM60\GRAF9_60.txt, bfs,false
28513,,28513,1-2-4-7-3-5-6-9-8-1,5800400.000000,0.000000,0.000000,0.000000%
28513,,28513,1-2-4-7-3-5-6-9-8-1,5822200.000000,0.000000,0.000000,0.000000%
28513,,28513,1-2-4-7-3-5-6-9-8-1,5817400.000000,0.000000,0.000000,0.000000%
28513,,28513,1-2-4-7-3-5-6-9-8-1,5809700.000000,0.000000,0.000000,0.000000%
28513,,28513,1-2-4-7-3-5-6-9-8-1,5824900.000000,0.000000,0.000000,0.000000%
28513,,28513,1-2-4-7-3-5-6-9-8-1,5816900.000000,0.000000,0.000000,0.000000%
28513,,28513,1-2-4-7-3-5-6-9-8-1,5829400.000000,0.000000,0.000000,0.000000%
28513,,28513,1-2-4-7-3-5-6-9-8-1,5818000.000000,0.000000,0.000000,0.000000%
28513,,28513,1-2-4-7-3-5-6-9-8-1,5817200.000000,0.000000,0.000000,0.000000%
28513,,28513,1-2-4-7-3-5-6-9-8-1,5838900.000000,0.000000,0.000000,0.000000%
\Dane\SYM60\GRAF10_60.txt, bfs,false
39212,,39212,1-2-8-7-5-10-9-6-4-3-1,36247600.000000,0.000000,0.000000,0.000000%
39212,,39212,1-2-8-7-5-10-9-6-4-3-1,36210400.000000,0.000000,0.000000,0.000000%
39212,,39212,1-2-8-7-5-10-9-6-4-3-1,36248800.000000,0.000000,0.000000,0.000000%
39212,,39212,1-2-8-7-5-10-9-6-4-3-1,36273100.000000,0.000000,0.000000,0.000000%
39212,,39212,1-2-8-7-5-10-9-6-4-3-1,36401700.000000,0.000000,0.000000,0.000000%
39212,,39212,1-2-8-7-5-10-9-6-4-3-1,36233700.000000,0.000000,0.000000,0.000000%
39212,,39212,1-2-8-7-5-10-9-6-4-3-1,36233700.000000,0.000000,0.000000,0.000000%
39212,,39212,1-2-8-7-5-10-9-6-4-3-1,36559400.000000,0.000000,0.000000,0.000000%
39212,,39212,1-2-8-7-5-10-9-6-4-3-1,36478500.000000,0.000000,0.000000,0.000000%
39212,,39212,1-2-8-7-5-10-9-6-4-3-1,36212900.000000,0.000000,0.000000,0.000000%
\Dane\SYM60\GRAF11_60.txt, bfs,false
32101,,32101,1-2-10-5-6-4-7-9-11-3-8-1,232011600.000000,0.000000,0.000000,0.000000%
32101,,32101,1-2-10-5-6-4-7-9-11-3-8-1,226704700.000000,0.000000,0.000000,0.000000%
32101,,32101,1-2-10-5-6-4-7-9-11-3-8-1,226149600.000000,0.000000,0.000000,0.000000%
32101,,32101,1-2-10-5-6-4-7-9-11-3-8-1,226627900.000000,0.000000,0.000000,0.000000%
32101,,32101,1-2-10-5-6-4-7-9-11-3-8-1,227790000.000000,0.000000,0.000000,0.000000%
32101,,32101,1-2-10-5-6-4-7-9-11-3-8-1,226721000.000000,0.000000,0.000000,0.000000%
32101,,32101,1-2-10-5-6-4-7-9-11-3-8-1,226687400.000000,0.000000,0.000000,0.000000%
32101,,32101,1-2-10-5-6-4-7-9-11-3-8-1,225935000.000000,0.000000,0.000000,0.000000%
32101,,32101,1-2-10-5-6-4-7-9-11-3-8-1,226362200.000000,0.000000,0.000000,0.000000%
32101,,32101,1-2-10-5-6-4-7-9-11-3-8-1,227014300.000000,0.000000,0.000000,0.000000%
\Dane\SYM60\GRAF12_60.txt, bfs,false
26906,,26906,1-9-6-3-4-7-8-10-2-5-12-11-1,1698976400.000000,0.000000,0.000000,0.000000%
26906,,26906,1-9-6-3-4-7-8-10-2-5-12-11-1,1678821800.000000,0.000000,0.000000,0.000000%
26906,,26906,1-9-6-3-4-7-8-10-2-5-12-11-1,1677419900.000000,0.000000,0.000000,0.000000%
26906,,26906,1-9-6-3-4-7-8-10-2-5-12-11-1,1685662500.000000,0.000000,0.000000,0.000000%
26906,,26906,1-9-6-3-4-7-8-10-2-5-12-11-1,1687351300.000000,0.000000,0.000000,0.000000%
26906,,26906,1-9-6-3-4-7-8-10-2-5-12-11-1,1676690900.000000,0.000000,0.000000,0.000000%
26906,,26906,1-9-6-3-4-7-8-10-2-5-12-11-1,1676474600.000000,0.000000,0.000000,0.000000%
26906,,26906,1-9-6-3-4-7-8-10-2-5-12-11-1,1686925100.000000,0.000000,0.000000,0.000000%
26906,,26906,1-9-6-3-4-7-8-10-2-5-12-11-1,1677175700.000000,0.000000,0.000000,0.000000%
26906,,26906,1-9-6-3-4-7-8-10-2-5-12-11-1,1677352100.000000,0.000000,0.000000,0.000000%
\Dane\SYM100\GRAF8_100.txt, bfs,false
12806,,12806,1-2-4-7-3-8-6-5-1,21812100.000000,0.000000,0.000000,0.000000%
12806,,12806,1-2-4-7-3-8-6-5-1,21717000.000000,0.000000,0.000000,0.000000%
12806,,12806,1-2-4-7-3-8-6-5-1,21717100.000000,0.000000,0.000000,0.000000%
12806,,12806,1-2-4-7-3-8-6-5-1,21751400.000000,0.000000,0.000000,0.000000%
12806,,12806,1-2-4-7-3-8-6-5-1,21698900.000000,0.000000,0.000000,0.000000%
12806,,12806,1-2-4-7-3-8-6-5-1,21739600.000000,0.000000,0.000000,0.000000%
12806,,12806,1-2-4-7-3-8-6-5-1,21727800.000000,0.000000,0.000000,0.000000%
12806,,12806,1-2-4-7-3-8-6-5-1,21741400.000000,0.000000,0.000000,0.000000%
12806,,12806,1-2-4-7-3-8-6-5-1,21744000.000000,0.000000,0.000000,0.000000%
12806,,12806,1-2-4-7-3-8-6-5-1,21772400.000000,0.000000,0.000000,0.000000%
\Dane\SYM100\GRAF9_100.txt, bfs,false
7129,,7129,1-2-8-9-5-4-6-7-3-1,185728900.000000,0.000000,0.000000,0.000000%
7129,,7129,1-2-8-9-5-4-6-7-3-1,182757800.000000,0.000000,0.000000,0.000000%
7129,,7129,1-2-8-9-5-4-6-7-3-1,183014700.000000,0.000000,0.000000,0.000000%
7129,,7129,1-2-8-9-5-4-6-7-3-1,183444100.000000,0.000000,0.000000,0.000000%
7129,,7129,1-2-8-9-5-4-6-7-3-1,182613100.000000,0.000000,0.000000,0.000000%
7129,,7129,1-2-8-9-5-4-6-7-3-1,183311200.000000,0.000000,0.000000,0.000000%
7129,,7129,1-2-8-9-5-4-6-7-3-1,182712900.000000,0.000000,0.000000,0.000000%
7129,,7129,1-2-8-9-5-4-6-7-3-1,182813000.000000,0.000000,0.000000,0.000000%
7129,,7129,1-2-8-9-5-4-6-7-3-1,183260600.000000,0.000000,0.000000,0.000000%
7129,,7129,1-2-8-9-5-4-6-7-3-1,183132100.000000,0.000000,0.000000,0.000000%
\Dane\SYM100\GRAF10_100.txt, bfs,false
16436,,16436,1-3-9-5-2-4-7-8-6-10-1,1814939500.000000,0.000000,0.000000,0.000000%
16436,,16436,1-3-9-5-2-4-7-8-6-10-1,1811303100.000000,0.000000,0.000000,0.000000%
16436,,16436,1-3-9-5-2-4-7-8-6-10-1,1811885700.000000,0.000000,0.000000,0.000000%
16436,,16436,1-3-9-5-2-4-7-8-6-10-1,1810951100.000000,0.000000,0.000000,0.000000%
16436,,16436,1-3-9-5-2-4-7-8-6-10-1,1816433900.000000,0.000000,0.000000,0.000000%
16436,,16436,1-3-9-5-2-4-7-8-6-10-1,1817653300.000000,0.000000,0.000000,0.000000%
16436,,16436,1-3-9-5-2-4-7-8-6-10-1,1814870500.000000,0.000000,0.000000,0.000000%
16436,,16436,1-3-9-5-2-4-7-8-6-10-1,1811523400.000000,0.000000,0.000000,0.000000%
16436,,16436,1-3-9-5-2-4-7-8-6-10-1,1811232600.000000,0.000000,0.000000,0.000000%
16436,,16436,1-3-9-5-2-4-7-8-6-10-1,1810999500.000000,0.000000,0.000000,0.000000%
\Dane\SYM100\GRAF11_100.txt, bfs,false
15619,,15619,1-2-6-3-7-11-4-10-8-9-5-1,19819473900.000000,0.000000,0.000000,0.000000%
15619,,15619,1-2-6-3-7-11-4-10-8-9-5-1,19780600200.000000,0.000000,0.000000,0.000000%
15619,,15619,1-2-6-3-7-11-4-10-8-9-5-1,19754316900.000000,0.000000,0.000000,0.000000%
15619,,15619,1-2-6-3-7-11-4-10-8-9-5-1,19773831300.000000,0.000000,0.000000,0.000000%
15619,,15619,1-2-6-3-7-11-4-10-8-9-5-1,19767793900.000000,0.000000,0.000000,0.000000%
15619,,15619,1-2-6-3-7-11-4-10-8-9-5-1,19829097300.000000,0.000000,0.000000,0.000000%
15619,,15619,1-2-6-3-7-11-4-10-8-9-5-1,19783492800.000000,0.000000,0.000000,0.000000%
15619,,15619,1-2-6-3-7-11-4-10-8-9-5-1,19781706000.000000,0.000000,0.000000,0.000000%
15619,,15619,1-2-6-3-7-11-4-10-8-9-5-1,19775543400.000000,0.000000,0.000000,0.000000%
15619,,15619,1-2-6-3-7-11-4-10-8-9-5-1,19768971000.000000,0.000000,0.000000,0.000000%
\Dane\SYM100\GRAF12_100.txt, bfs,false
17016,,17016,1-4-2-3-9-6-7-5-12-10-11-8-1,239703647400.000000,0.000000,0.000000,0.000000%
17016,,17016,1-4-2-3-9-6-7-5-12-10-11-8-1,239374045000.000000,0.000000,0.000000,0.000000%
17016,,17016,1-4-2-3-9-6-7-5-12-10-11-8-1,239233462100.000000,0.000000,0.000000,0.000000%
17016,,17016,1-4-2-3-9-6-7-5-12-10-11-8-1,239602408400.000000,0.000000,0.000000,0.000000%
17016,,17016,1-4-2-3-9-6-7-5-12-10-11-8-1,239225679200.000000,0.000000,0.000000,0.000000%
17016,,17016,1-4-2-3-9-6-7-5-12-10-11-8-1,239511065200.000000,0.000000,0.000000,0.000000%
17016,,17016,1-4-2-3-9-6-7-5-12-10-11-8-1,239533952300.000000,0.000000,0.000000,0.000000%
17016,,17016,1-4-2-3-9-6-7-5-12-10-11-8-1,239456062700.000000,0.000000,0.000000,0.000000%
17016,,17016,1-4-2-3-9-6-7-5-12-10-11-8-1,239301702000.000000,0.000000,0.000000,0.000000%
17016,,17016,1-4-2-3-9-6-7-5-12-10-11-8-1,239490272900.000000,0.000000,0.000000,0.000000%
\Dane\ASYM30\GRAF8_30.txt, bfs,false
28719,,28719,1-6-8-2-3-5-4-7-1,316300.000000,0.000000,0.000000,0.000000%
28719,,28719,1-6-8-2-3-5-4-7-1,317600.000000,0.000000,0.000000,0.000000%
28719,,28719,1-6-8-2-3-5-4-7-1,314900.000000,0.000000,0.000000,0.000000%
28719,,28719,1-6-8-2-3-5-4-7-1,318100.000000,0.000000,0.000000,0.000000%
28719,,28719,1-6-8-2-3-5-4-7-1,314100.000000,0.000000,0.000000,0.000000%
28719,,28719,1-6-8-2-3-5-4-7-1,316800.000000,0.000000,0.000000,0.000000%
28719,,28719,1-6-8-2-3-5-4-7-1,318900.000000,0.000000,0.000000,0.000000%
28719,,28719,1-6-8-2-3-5-4-7-1,315300.000000,0.000000,0.000000,0.000000%
28719,,28719,1-6-8-2-3-5-4-7-1,314500.000000,0.000000,0.000000,0.000000%
28719,,28719,1-6-8-2-3-5-4-7-1,314400.000000,0.000000,0.000000,0.000000%
\Dane\ASYM30\GRAF9_30.txt, bfs,false
26942,,26942,1-2-9-7-4-6-5-8-3-1,2079600.000000,0.000000,0.000000,0.000000%
