Optymalny wynik,Optymalna scieżka,Otrzymany wynik,Otrzymana scieżka,Czas wykonania,Blad bezwzgledny,Blad wzgledny (liczbowo),Blad wzgledny (procentowo)
\Dane\SYM30\GRAF8_30.txt, brute-force,10min,false
30867,,30867,2-3-7-4-5-1-6-8-2,584300.000000,0.000000,0.000000,0.000000%
30867,,30867,2-3-7-4-5-1-6-8-2,587200.000000,0.000000,0.000000,0.000000%
30867,,30867,2-3-7-4-5-1-6-8-2,585000.000000,0.000000,0.000000,0.000000%
30867,,30867,2-3-7-4-5-1-6-8-2,583800.000000,0.000000,0.000000,0.000000%
30867,,30867,2-3-7-4-5-1-6-8-2,583200.000000,0.000000,0.000000,0.000000%
30867,,30867,2-3-7-4-5-1-6-8-2,583400.000000,0.000000,0.000000,0.000000%
30867,,30867,2-3-7-4-5-1-6-8-2,582900.000000,0.000000,0.000000,0.000000%
30867,,30867,2-3-7-4-5-1-6-8-2,583800.000000,0.000000,0.000000,0.000000%
30867,,30867,2-3-7-4-5-1-6-8-2,583900.000000,0.000000,0.000000,0.000000%
30867,,30867,2-3-7-4-5-1-6-8-2,584600.000000,0.000000,0.000000,0.000000%
\Dane\SYM30\GRAF9_30.txt, brute-force,10min,false
23923,,23923,9-8-3-7-4-6-5-1-2-9,22821800.000000,0.000000,0.000000,0.000000%
23923,,23923,9-8-3-7-4-6-5-1-2-9,22812100.000000,0.000000,0.000000,0.000000%
23923,,23923,9-8-3-7-4-6-5-1-2-9,22822700.000000,0.000000,0.000000,0.000000%
23923,,23923,9-8-3-7-4-6-5-1-2-9,22657300.000000,0.000000,0.000000,0.000000%
23923,,23923,9-8-3-7-4-6-5-1-2-9,22387800.000000,0.000000,0.000000,0.000000%
23923,,23923,9-8-3-7-4-6-5-1-2-9,22595500.000000,0.000000,0.000000,0.000000%
23923,,23923,9-8-3-7-4-6-5-1-2-9,22358200.000000,0.000000,0.000000,0.000000%
23923,,23923,9-8-3-7-4-6-5-1-2-9,22518800.000000,0.000000,0.000000,0.000000%
23923,,23923,9-8-3-7-4-6-5-1-2-9,22428600.000000,0.000000,0.000000,0.000000%
23923,,23923,9-8-3-7-4-6-5-1-2-9,22730400.000000,0.000000,0.000000,0.000000%
\Dane\SYM30\GRAF10_30.txt, brute-force,10min,false
24562,,24562,3-5-8-1-10-7-6-4-9-2-3,129757000.000000,0.000000,0.000000,0.000000%
24562,,24562,3-5-8-1-10-7-6-4-9-2-3,123387500.000000,0.000000,0.000000,0.000000%
24562,,24562,3-5-8-1-10-7-6-4-9-2-3,126254500.000000,0.000000,0.000000,0.000000%
24562,,24562,3-5-8-1-10-7-6-4-9-2-3,123407100.000000,0.000000,0.000000,0.000000%
24562,,24562,3-5-8-1-10-7-6-4-9-2-3,123585000.000000,0.000000,0.000000,0.000000%
24562,,24562,3-5-8-1-10-7-6-4-9-2-3,123102500.000000,0.000000,0.000000,0.000000%
24562,,24562,3-5-8-1-10-7-6-4-9-2-3,123396200.000000,0.000000,0.000000,0.000000%
24562,,24562,3-5-8-1-10-7-6-4-9-2-3,123244100.000000,0.000000,0.000000,0.000000%
24562,,24562,3-5-8-1-10-7-6-4-9-2-3,130545900.000000,0.000000,0.000000,0.000000%
24562,,24562,3-5-8-1-10-7-6-4-9-2-3,123966600.000000,0.000000,0.000000,0.000000%
\Dane\SYM30\GRAF11_30.txt, brute-force,10min,false
40077,,40077,7-3-9-8-10-2-4-1-5-6-11-7,662713200.000000,0.000000,0.000000,0.000000%
40077,,40077,7-3-9-8-10-2-4-1-5-6-11-7,656371800.000000,0.000000,0.000000,0.000000%
40077,,40077,7-3-9-8-10-2-4-1-5-6-11-7,655828100.000000,0.000000,0.000000,0.000000%
40077,,40077,7-3-9-8-10-2-4-1-5-6-11-7,656281400.000000,0.000000,0.000000,0.000000%
40077,,40077,7-3-9-8-10-2-4-1-5-6-11-7,658546300.000000,0.000000,0.000000,0.000000%
40077,,40077,7-3-9-8-10-2-4-1-5-6-11-7,673410600.000000,0.000000,0.000000,0.000000%
40077,,40077,7-3-9-8-10-2-4-1-5-6-11-7,656011700.000000,0.000000,0.000000,0.000000%
40077,,40077,7-3-9-8-10-2-4-1-5-6-11-7,656570600.000000,0.000000,0.000000,0.000000%
40077,,40077,7-3-9-8-10-2-4-1-5-6-11-7,656877600.000000,0.000000,0.000000,0.000000%
40077,,40077,7-3-9-8-10-2-4-1-5-6-11-7,656052700.000000,0.000000,0.000000,0.000000%
\Dane\SYM30\GRAF12_30.txt, brute-force,10min,false
39712,,39712,4-2-9-3-7-11-6-5-1-8-10-12-4,2317150600.000000,0.000000,0.000000,0.000000%
39712,,39712,4-2-9-3-7-11-6-5-1-8-10-12-4,2313433400.000000,0.000000,0.000000,0.000000%
39712,,39712,4-2-9-3-7-11-6-5-1-8-10-12-4,2314353900.000000,0.000000,0.000000,0.000000%
39712,,39712,4-2-9-3-7-11-6-5-1-8-10-12-4,2322238000.000000,0.000000,0.000000,0.000000%
39712,,39712,4-2-9-3-7-11-6-5-1-8-10-12-4,2314950900.000000,0.000000,0.000000,0.000000%
39712,,39712,4-2-9-3-7-11-6-5-1-8-10-12-4,2315418800.000000,0.000000,0.000000,0.000000%
39712,,39712,4-2-9-3-7-11-6-5-1-8-10-12-4,2313344900.000000,0.000000,0.000000,0.000000%
39712,,39712,4-2-9-3-7-11-6-5-1-8-10-12-4,2313760600.000000,0.000000,0.000000,0.000000%
39712,,39712,4-2-9-3-7-11-6-5-1-8-10-12-4,2315271900.000000,0.000000,0.000000,0.000000%
39712,,39712,4-2-9-3-7-11-6-5-1-8-10-12-4,2314218600.000000,0.000000,0.000000,0.000000%
\Dane\SYM60\GRAF8_60.txt, brute-force,10min,false
22264,,22264,6-5-7-2-3-8-4-1-6,1434800.000000,0.000000,0.000000,0.000000%
22264,,22264,6-5-7-2-3-8-4-1-6,1395700.000000,0.000000,0.000000,0.000000%
22264,,22264,6-5-7-2-3-8-4-1-6,1442400.000000,0.000000,0.000000,0.000000%
22264,,22264,6-5-7-2-3-8-4-1-6,1494700.000000,0.000000,0.000000,0.000000%
22264,,22264,6-5-7-2-3-8-4-1-6,1397100.000000,0.000000,0.000000,0.000000%
22264,,22264,6-5-7-2-3-8-4-1-6,1486700.000000,0.000000,0.000000,0.000000%
22264,,22264,6-5-7-2-3-8-4-1-6,1465700.000000,0.000000,0.000000,0.000000%
22264,,22264,6-5-7-2-3-8-4-1-6,1465600.000000,0.000000,0.000000,0.000000%
22264,,22264,6-5-7-2-3-8-4-1-6,1465300.000000,0.000000,0.000000,0.000000%
22264,,22264,6-5-7-2-3-8-4-1-6,1500300.000000,0.000000,0.000000,0.000000%
\Dane\SYM60\GRAF9_60.txt, brute-force,10min,false
28513,,28513,6-9-8-1-2-4-7-3-5-6,12568500.000000,0.000000,0.000000,0.000000%
28513,,28513,6-9-8-1-2-4-7-3-5-6,12565000.000000,0.000000,0.000000,0.000000%
28513,,28513,6-9-8-1-2-4-7-3-5-6,12555200.000000,0.000000,0.000000,0.000000%
28513,,28513,6-9-8-1-2-4-7-3-5-6,12560400.000000,0.000000,0.000000,0.000000%
28513,,28513,6-9-8-1-2-4-7-3-5-6,12605600.000000,0.000000,0.000000,0.000000%
28513,,28513,6-9-8-1-2-4-7-3-5-6,12380600.000000,0.000000,0.000000,0.000000%
28513,,28513,6-9-8-1-2-4-7-3-5-6,12383700.000000,0.000000,0.000000,0.000000%
28513,,28513,6-9-8-1-2-4-7-3-5-6,12303300.000000,0.000000,0.000000,0.000000%
28513,,28513,6-9-8-1-2-4-7-3-5-6,12294800.000000,0.000000,0.000000,0.000000%
28513,,28513,6-9-8-1-2-4-7-3-5-6,12301400.000000,0.000000,0.000000,0.000000%
\Dane\SYM60\GRAF10_60.txt, brute-force,10min,false
39212,,39212,7-8-2-1-3-4-6-9-10-5-7,110070000.000000,0.000000,0.000000,0.000000%
39212,,39212,7-8-2-1-3-4-6-9-10-5-7,105886600.000000,0.000000,0.000000,0.000000%
