Optymalny wynik,Optymalna scieżka,Otrzymany wynik,Otrzymana scieżka,Czas wykonania,Blad bezwzgledny,Blad wzgledny (liczbowo),Blad wzgledny (procentowo)
\Dane\SYM30\GRAF8_30.txt, leastCost,false
30867,,30867,1-6-8-2-3-7-4-5-1,184700.000000,0.000000,0.000000,0.000000%
30867,,30867,1-6-8-2-3-7-4-5-1,186300.000000,0.000000,0.000000,0.000000%
30867,,30867,1-6-8-2-3-7-4-5-1,182000.000000,0.000000,0.000000,0.000000%
30867,,30867,1-6-8-2-3-7-4-5-1,181800.000000,0.000000,0.000000,0.000000%
30867,,30867,1-6-8-2-3-7-4-5-1,179300.000000,0.000000,0.000000,0.000000%
30867,,30867,1-6-8-2-3-7-4-5-1,179700.000000,0.000000,0.000000,0.000000%
30867,,30867,1-6-8-2-3-7-4-5-1,179200.000000,0.000000,0.000000,0.000000%
30867,,30867,1-6-8-2-3-7-4-5-1,183800.000000,0.000000,0.000000,0.000000%
30867,,30867,1-6-8-2-3-7-4-5-1,182700.000000,0.000000,0.000000,0.000000%
30867,,30867,1-6-8-2-3-7-4-5-1,183900.000000,0.000000,0.000000,0.000000%
\Dane\SYM30\GRAF9_30.txt, leastCost,false
23923,,23923,1-5-6-4-7-3-8-9-2-1,558300.000000,0.000000,0.000000,0.000000%
23923,,23923,1-5-6-4-7-3-8-9-2-1,557000.000000,0.000000,0.000000,0.000000%
23923,,23923,1-5-6-4-7-3-8-9-2-1,556600.000000,0.000000,0.000000,0.000000%
23923,,23923,1-5-6-4-7-3-8-9-2-1,556100.000000,0.000000,0.000000,0.000000%
23923,,23923,1-5-6-4-7-3-8-9-2-1,556000.000000,0.000000,0.000000,0.000000%
23923,,23923,1-5-6-4-7-3-8-9-2-1,561900.000000,0.000000,0.000000,0.000000%
23923,,23923,1-5-6-4-7-3-8-9-2-1,557600.000000,0.000000,0.000000,0.000000%
23923,,23923,1-5-6-4-7-3-8-9-2-1,558300.000000,0.000000,0.000000,0.000000%
23923,,23923,1-5-6-4-7-3-8-9-2-1,557400.000000,0.000000,0.000000,0.000000%
23923,,23923,1-5-6-4-7-3-8-9-2-1,555400.000000,0.000000,0.000000,0.000000%
\Dane\SYM30\GRAF10_30.txt, leastCost,false
24562,,24562,1-8-5-3-2-9-4-6-7-10-1,470900.000000,0.000000,0.000000,0.000000%
24562,,24562,1-8-5-3-2-9-4-6-7-10-1,468500.000000,0.000000,0.000000,0.000000%
24562,,24562,1-8-5-3-2-9-4-6-7-10-1,467800.000000,0.000000,0.000000,0.000000%
24562,,24562,1-8-5-3-2-9-4-6-7-10-1,468400.000000,0.000000,0.000000,0.000000%
24562,,24562,1-8-5-3-2-9-4-6-7-10-1,468900.000000,0.000000,0.000000,0.000000%
24562,,24562,1-8-5-3-2-9-4-6-7-10-1,468600.000000,0.000000,0.000000,0.000000%
24562,,24562,1-8-5-3-2-9-4-6-7-10-1,470900.000000,0.000000,0.000000,0.000000%
24562,,24562,1-8-5-3-2-9-4-6-7-10-1,471900.000000,0.000000,0.000000,0.000000%
24562,,24562,1-8-5-3-2-9-4-6-7-10-1,469000.000000,0.000000,0.000000,0.000000%
24562,,24562,1-8-5-3-2-9-4-6-7-10-1,465800.000000,0.000000,0.000000,0.000000%
\Dane\SYM30\GRAF11_30.txt, leastCost,false
40077,,40077,1-5-6-11-7-3-9-8-10-2-4-1,641300.000000,0.000000,0.000000,0.000000%
40077,,40077,1-5-6-11-7-3-9-8-10-2-4-1,640100.000000,0.000000,0.000000,0.000000%
40077,,40077,1-5-6-11-7-3-9-8-10-2-4-1,640100.000000,0.000000,0.000000,0.000000%
40077,,40077,1-5-6-11-7-3-9-8-10-2-4-1,638700.000000,0.000000,0.000000,0.000000%
40077,,40077,1-5-6-11-7-3-9-8-10-2-4-1,640500.000000,0.000000,0.000000,0.000000%
40077,,40077,1-5-6-11-7-3-9-8-10-2-4-1,642200.000000,0.000000,0.000000,0.000000%
40077,,40077,1-5-6-11-7-3-9-8-10-2-4-1,644900.000000,0.000000,0.000000,0.000000%
40077,,40077,1-5-6-11-7-3-9-8-10-2-4-1,641600.000000,0.000000,0.000000,0.000000%
40077,,40077,1-5-6-11-7-3-9-8-10-2-4-1,641700.000000,0.000000,0.000000,0.000000%
40077,,40077,1-5-6-11-7-3-9-8-10-2-4-1,640600.000000,0.000000,0.000000,0.000000%
\Dane\SYM30\GRAF12_30.txt, leastCost,false
39712,,39712,1-5-6-11-7-3-9-2-4-12-10-8-1,3146700.000000,0.000000,0.000000,0.000000%
39712,,39712,1-5-6-11-7-3-9-2-4-12-10-8-1,3143400.000000,0.000000,0.000000,0.000000%
39712,,39712,1-5-6-11-7-3-9-2-4-12-10-8-1,3151500.000000,0.000000,0.000000,0.000000%
39712,,39712,1-5-6-11-7-3-9-2-4-12-10-8-1,3148000.000000,0.000000,0.000000,0.000000%
39712,,39712,1-5-6-11-7-3-9-2-4-12-10-8-1,3155100.000000,0.000000,0.000000,0.000000%
39712,,39712,1-5-6-11-7-3-9-2-4-12-10-8-1,3155900.000000,0.000000,0.000000,0.000000%
39712,,39712,1-5-6-11-7-3-9-2-4-12-10-8-1,3148200.000000,0.000000,0.000000,0.000000%
39712,,39712,1-5-6-11-7-3-9-2-4-12-10-8-1,3148300.000000,0.000000,0.000000,0.000000%
39712,,39712,1-5-6-11-7-3-9-2-4-12-10-8-1,3154000.000000,0.000000,0.000000,0.000000%
39712,,39712,1-5-6-11-7-3-9-2-4-12-10-8-1,3158400.000000,0.000000,0.000000,0.000000%
\Dane\SYM60\GRAF8_60.txt, leastCost,false
22264,,22264,1-4-8-3-2-7-5-6-1,129600.000000,0.000000,0.000000,0.000000%
22264,,22264,1-4-8-3-2-7-5-6-1,128400.000000,0.000000,0.000000,0.000000%
22264,,22264,1-4-8-3-2-7-5-6-1,131400.000000,0.000000,0.000000,0.000000%
22264,,22264,1-4-8-3-2-7-5-6-1,131200.000000,0.000000,0.000000,0.000000%
22264,,22264,1-4-8-3-2-7-5-6-1,132300.000000,0.000000,0.000000,0.000000%
22264,,22264,1-4-8-3-2-7-5-6-1,130700.000000,0.000000,0.000000,0.000000%
22264,,22264,1-4-8-3-2-7-5-6-1,129200.000000,0.000000,0.000000,0.000000%
22264,,22264,1-4-8-3-2-7-5-6-1,128800.000000,0.000000,0.000000,0.000000%
22264,,22264,1-4-8-3-2-7-5-6-1,129400.000000,0.000000,0.000000,0.000000%
22264,,22264,1-4-8-3-2-7-5-6-1,131500.000000,0.000000,0.000000,0.000000%
\Dane\SYM60\GRAF9_60.txt, leastCost,false
28513,,28513,1-2-4-7-3-5-6-9-8-1,338600.000000,0.000000,0.000000,0.000000%
28513,,28513,1-2-4-7-3-5-6-9-8-1,335300.000000,0.000000,0.000000,0.000000%
28513,,28513,1-2-4-7-3-5-6-9-8-1,336300.000000,0.000000,0.000000,0.000000%
28513,,28513,1-2-4-7-3-5-6-9-8-1,336700.000000,0.000000,0.000000,0.000000%
28513,,28513,1-2-4-7-3-5-6-9-8-1,335000.000000,0.000000,0.000000,0.000000%
