Optymalny wynik,Optymalna scieżka,Otrzymany wynik,Otrzymana scieżka,Czas wykonania,Blad bezwzgledny,Blad wzgledny (liczbowo),Blad wzgledny (procentowo)
\Dane\SYM30\GRAF8_30.txt, nearest-neighbour,false
30867,,30867,1-6-8-2-3-7-4-5-1,97700.000000,0.000000,0.000000,0.000000%
30867,,30867,1-6-8-2-3-7-4-5-1,93900.000000,0.000000,0.000000,0.000000%
30867,,30867,1-6-8-2-3-7-4-5-1,93800.000000,0.000000,0.000000,0.000000%
30867,,30867,1-6-8-2-3-7-4-5-1,96400.000000,0.000000,0.000000,0.000000%
30867,,30867,1-6-8-2-3-7-4-5-1,94700.000000,0.000000,0.000000,0.000000%
30867,,30867,1-6-8-2-3-7-4-5-1,97300.000000,0.000000,0.000000,0.000000%
30867,,30867,1-6-8-2-3-7-4-5-1,129300.000000,0.000000,0.000000,0.000000%
30867,,30867,1-6-8-2-3-7-4-5-1,121100.000000,0.000000,0.000000,0.000000%
30867,,30867,1-6-8-2-3-7-4-5-1,98800.000000,0.000000,0.000000,0.000000%
30867,,30867,1-6-8-2-3-7-4-5-1,96000.000000,0.000000,0.000000,0.000000%
\Dane\SYM30\GRAF9_30.txt, nearest-neighbour,false
23923,,-2147464224,1-2-8-3-7-4-6-5-5-1,114300.000000,2147479149.000000,89766.298081,8976629.808134%
23923,,-2147464224,1-2-8-3-7-4-6-5-5-1,115400.000000,2147479149.000000,89766.298081,8976629.808134%
23923,,-2147464224,1-2-8-3-7-4-6-5-5-1,115300.000000,2147479149.000000,89766.298081,8976629.808134%
23923,,-2147464224,1-2-8-3-7-4-6-5-5-1,113000.000000,2147479149.000000,89766.298081,8976629.808134%
23923,,-2147464224,1-2-8-3-7-4-6-5-5-1,113400.000000,2147479149.000000,89766.298081,8976629.808134%
23923,,-2147464224,1-2-8-3-7-4-6-5-5-1,112900.000000,2147479149.000000,89766.298081,8976629.808134%
23923,,-2147464224,1-2-8-3-7-4-6-5-5-1,115700.000000,2147479149.000000,89766.298081,8976629.808134%
23923,,-2147464224,1-2-8-3-7-4-6-5-5-1,116100.000000,2147479149.000000,89766.298081,8976629.808134%
23923,,-2147464224,1-2-8-3-7-4-6-5-5-1,112800.000000,2147479149.000000,89766.298081,8976629.808134%
23923,,-2147464224,1-2-8-3-7-4-6-5-5-1,113400.000000,2147479149.000000,89766.298081,8976629.808134%
\Dane\SYM30\GRAF10_30.txt, nearest-neighbour,false
24562,,2147483647,345600.000000,2147459085.000000,87430.139443,8743013.944304%
24562,,2147483647,337700.000000,2147459085.000000,87430.139443,8743013.944304%
24562,,2147483647,337400.000000,2147459085.000000,87430.139443,8743013.944304%
24562,,2147483647,340500.000000,2147459085.000000,87430.139443,8743013.944304%
24562,,2147483647,341100.000000,2147459085.000000,87430.139443,8743013.944304%
24562,,2147483647,337300.000000,2147459085.000000,87430.139443,8743013.944304%
24562,,2147483647,339300.000000,2147459085.000000,87430.139443,8743013.944304%
24562,,2147483647,337000.000000,2147459085.000000,87430.139443,8743013.944304%
24562,,2147483647,337500.000000,2147459085.000000,87430.139443,8743013.944304%
24562,,2147483647,339100.000000,2147459085.000000,87430.139443,8743013.944304%
\Dane\SYM30\GRAF11_30.txt, nearest-neighbour,false
40077,,-2147450906,1-5-6-11-7-3-8-9-2-4-4-1,394300.000000,2147476313.000000,53583.759089,5358375.908875%
40077,,-2147450906,1-5-6-11-7-3-8-9-2-4-4-1,390400.000000,2147476313.000000,53583.759089,5358375.908875%
40077,,-2147450906,1-5-6-11-7-3-8-9-2-4-4-1,389700.000000,2147476313.000000,53583.759089,5358375.908875%
40077,,-2147450906,1-5-6-11-7-3-8-9-2-4-4-1,391100.000000,2147476313.000000,53583.759089,5358375.908875%
40077,,-2147450906,1-5-6-11-7-3-8-9-2-4-4-1,392000.000000,2147476313.000000,53583.759089,5358375.908875%
40077,,-2147450906,1-5-6-11-7-3-8-9-2-4-4-1,388300.000000,2147476313.000000,53583.759089,5358375.908875%
40077,,-2147450906,1-5-6-11-7-3-8-9-2-4-4-1,388400.000000,2147476313.000000,53583.759089,5358375.908875%
