Optymalny wynik,Optymalna scieżka,Otrzymany wynik,Otrzymana scieżka,Czas wykonania,Blad bezwzgledny,Blad wzgledny (liczbowo),Blad wzgledny (procentowo)
\Dane\Adam11.txt, tabuSearch,false
149,,153,11-2-3-7-8-1-5-4-10-9-6,18244500.000000,4.000000,0.026846,2.684564%
149,,153,11-2-3-7-8-1-5-4-10-9-6,17726200.000000,4.000000,0.026846,2.684564%
149,,153,11-2-3-7-8-1-5-4-10-9-6,18014500.000000,4.000000,0.026846,2.684564%
149,,153,11-2-3-7-8-1-5-4-10-9-6,18187300.000000,4.000000,0.026846,2.684564%
149,,153,11-2-3-7-8-1-5-4-10-9-6,18039000.000000,4.000000,0.026846,2.684564%
149,,153,11-2-3-7-8-1-5-4-10-9-6,18463500.000000,4.000000,0.026846,2.684564%
149,,153,11-2-3-7-8-1-5-4-10-9-6,18315900.000000,4.000000,0.026846,2.684564%
149,,153,11-2-3-7-8-1-5-4-10-9-6,19009800.000000,4.000000,0.026846,2.684564%
149,,153,11-2-3-7-8-1-5-4-10-9-6,18216300.000000,4.000000,0.026846,2.684564%
149,,153,11-2-3-7-8-1-5-4-10-9-6,18399800.000000,4.000000,0.026846,2.684564%
\Dane\Adam5.txt, tabuSearch,false
149,,91,1-2-3-4-5,3018100.000000,58.000000,0.389262,38.926174%
149,,91,1-2-3-4-5,2923600.000000,58.000000,0.389262,38.926174%
149,,91,1-2-3-4-5,2881000.000000,58.000000,0.389262,38.926174%
149,,91,1-2-3-4-5,2899600.000000,58.000000,0.389262,38.926174%
149,,91,1-2-3-4-5,2885500.000000,58.000000,0.389262,38.926174%
149,,91,1-2-3-4-5,2960300.000000,58.000000,0.389262,38.926174%
149,,91,1-2-3-4-5,2886500.000000,58.000000,0.389262,38.926174%
149,,91,1-2-3-4-5,2964500.000000,58.000000,0.389262,38.926174%
149,,91,1-2-3-4-5,2879600.000000,58.000000,0.389262,38.926174%
149,,91,1-2-3-4-5,2888400.000000,58.000000,0.389262,38.926174%
\Dane\Adam5.txt, tabuSearch,false
149,,91,1-2-3-4-5,2955300.000000,58.000000,0.389262,38.926174%
149,,91,1-2-3-4-5,3003700.000000,58.000000,0.389262,38.926174%
149,,91,1-2-3-4-5,3115600.000000,58.000000,0.389262,38.926174%
149,,91,1-2-3-4-5,2998700.000000,58.000000,0.389262,38.926174%
149,,91,1-2-3-4-5,3139200.000000,58.000000,0.389262,38.926174%
149,,91,1-2-3-4-5,2892800.000000,58.000000,0.389262,38.926174%
149,,91,1-2-3-4-5,3138600.000000,58.000000,0.389262,38.926174%
149,,91,1-2-3-4-5,2877300.000000,58.000000,0.389262,38.926174%
149,,91,1-2-3-4-5,3532900.000000,58.000000,0.389262,38.926174%
149,,91,1-2-3-4-5,2917800.000000,58.000000,0.389262,38.926174%
\Dane\Adam5.txt, tabuSearch,false
149,,91,1-2-3-4-5,2985000.000000,58.000000,0.389262,38.926174%
149,,91,1-2-3-4-5,2984200.000000,58.000000,0.389262,38.926174%
149,,91,1-2-3-4-5,5335000.000000,58.000000,0.389262,38.926174%
149,,91,1-2-3-4-5,8325000.000000,58.000000,0.389262,38.926174%
149,,91,1-2-3-4-5,2973100.000000,58.000000,0.389262,38.926174%
149,,91,1-2-3-4-5,2952100.000000,58.000000,0.389262,38.926174%
149,,91,1-2-3-4-5,3603200.000000,58.000000,0.389262,38.926174%
