Optymalny wynik,Otrzymany wynik,Czas wykonania,Blad wzgledny (procentowo)
\Dane\TSP\rat99.txt
 1211,8294,0.000839,584.888522%
1211,7538,0.000833,522.460776%
1211,7841,0.00082,547.481420%
1211,8612,0.00082,611.147812%
\Dane\TSP\pr152.txt
 73682,1040292,0.001106,1311.867213%
73682,1005175,0.001107,1264.206998%
73682,1092969,0.001149,1383.359572%
73682,1058872,0.001107,1337.083684%
\Dane\TSP\ts225.txt
 126643,1668146,0.001556,1217.203477%
126643,1651607,0.001554,1204.143932%
126643,1568687,0.001558,1138.668541%
126643,1579875,0.001561,1147.502823%
\Dane\TSP\pr264.txt
 49135,1108084,0.001818,2155.182660%
49135,1133812,0.001793,2207.544520%
49135,1171832,0.001797,2284.923171%
49135,1146690,0.001805,2233.753943%
\Dane\ATSP\ftv33.txt
 1286,4509,0.000392,250.622084%
1286,4080,0.000388,217.262830%
1286,4210,0.000401,227.371695%
1286,4312,0.000402,235.303266%
\Dane\ATSP\ftv64.txt
 1839,8644,0.000594,370.038064%
1839,8118,0.000571,341.435563%
1839,8688,0.000591,372.430669%
1839,8368,0.000585,355.029908%
\Dane\ATSP\kro100p.txt
 36230,185853,0.000791,412.980955%
36230,196605,0.000790,442.658018%
36230,194182,0.000791,435.970190%
36230,196578,0.000788,442.583494%
\Dane\ATSP\ftv170.txt
 2755,26045,0.001212,845.372051%
2755,24841,0.001219,801.669691%
2755,25356,0.001214,820.362976%
2755,25471,0.001216,824.537205%
\Dane\TSP\rat99.txt
 1211,8600,0.001016,610.156895%
1211,8697,0.001013,618.166804%
1211,8329,0.001015,587.778695%
1211,8230,0.001029,579.603633%
\Dane\TSP\pr152.txt
 73682,1064964,0.001438,1345.351646%
73682,1039913,0.001434,1311.352841%
73682,1093544,0.001435,1384.139953%
73682,1065817,0.001433,1346.509324%
\Dane\TSP\ts225.txt
 126643,1591071,0.002017,1156.343422%
126643,1580622,0.002020,1148.092670%
126643,1558577,0.002018,1130.685470%
126643,1639443,0.002015,1194.538980%
\Dane\TSP\pr264.txt
 49135,1185877,0.002335,2313.507683%
49135,1109370,0.002339,2157.799939%
49135,1171771,0.002431,2284.799023%
49135,1081182,0.002387,2100.431464%
\Dane\ATSP\ftv33.txt
 1286,4252,0.000535,230.637636%
1286,3799,0.000532,195.412131%
1286,4758,0.000534,269.984448%
1286,4433,0.000533,244.712286%
\Dane\ATSP\ftv64.txt
 1839,8236,0.000773,347.852094%
1839,8873,0.000744,382.490484%
1839,9031,0.000770,391.082110%
1839,8926,0.000748,385.372485%
\Dane\ATSP\kro100p.txt
 36230,179628,0.001031,395.799062%
36230,191157,0.001027,427.620756%
36230,198629,0.001028,448.244549%
36230,194257,0.001028,436.177201%
\Dane\ATSP\ftv170.txt
 2755,25650,0.001575,831.034483%
2755,27008,0.001577,880.326679%
2755,27726,0.001581,906.388385%
2755,26801,0.001579,872.813067%
\Dane\TSP\rat99.txt
