Optymalny wynik,Otrzymany wynik,Czas wykonania,Blad wzgledny (procentowo)
\Dane\TSP\rat99.txt
 1211,8175,0.015088,575.061932%
1211,7646,0.015061,531.379026%
1211,8958,0.014860,639.719240%
1211,9003,0.014799,643.435178%
\Dane\TSP\pr152.txt
 73682,1079081,0.020852,1364.511007%
73682,1069611,0.021244,1351.658478%
73682,1054582,0.020787,1331.261366%
73682,1099893,0.020975,1392.756711%
\Dane\TSP\ts225.txt
 126643,1531902,0.029291,1109.622324%
126643,1662911,0.031495,1213.069810%
126643,1559974,0.031502,1131.788571%
126643,1606288,0.031744,1168.359088%
\Dane\TSP\pr264.txt
 49135,1108587,0.036821,2156.206370%
49135,1104831,0.040177,2148.562125%
49135,1100244,0.040030,2139.226621%
49135,1121317,0.040185,2182.114582%
\Dane\ATSP\ftv33.txt
 1286,3938,0.007767,206.220840%
1286,4420,0.007900,243.701400%
1286,4440,0.007845,245.256610%
1286,4583,0.007863,256.376361%
\Dane\ATSP\ftv64.txt
 1839,8132,0.011690,342.196846%
1839,8557,0.011766,365.307232%
1839,8007,0.011658,335.399674%
1839,8602,0.011671,367.754214%
\Dane\ATSP\kro100p.txt
 36230,193174,0.015952,433.187966%
36230,199681,0.015892,451.148220%
36230,187766,0.015860,418.261110%
36230,199495,0.015940,450.634833%
\Dane\ATSP\ftv170.txt
 2755,25749,0.024819,834.627949%
2755,25817,0.024420,837.096189%
2755,26611,0.024897,865.916515%
2755,25520,0.024499,826.315789%
\Dane\TSP\rat99.txt
 1211,8777,0.031634,624.772915%
1211,8776,0.031717,624.690339%
1211,7773,0.031893,541.866226%
1211,8233,0.031860,579.851363%
\Dane\TSP\pr152.txt
 73682,981037,0.045013,1231.447301%
73682,1036696,0.045171,1306.986781%
73682,1028275,0.044524,1295.557938%
73682,1059719,0.045108,1338.233218%
\Dane\TSP\ts225.txt
 126643,1608833,0.062983,1170.368674%
126643,1652437,0.062780,1204.799318%
126643,1598095,0.063088,1161.889722%
126643,1673897,0.063448,1221.744589%
\Dane\TSP\pr264.txt
 49135,1188793,0.073390,2319.442353%
49135,1077274,0.072741,2092.477867%
49135,1173982,0.073488,2289.298870%
49135,1100251,0.073644,2139.240867%
\Dane\ATSP\ftv33.txt
 1286,3866,0.015750,200.622084%
1286,4010,0.015761,211.819596%
1286,3532,0.015669,174.650078%
1286,3872,0.015692,201.088647%
\Dane\ATSP\ftv64.txt
 1839,8872,0.023152,382.436107%
1839,8784,0.023233,377.650897%
1839,8331,0.023136,353.017945%
1839,8842,0.023231,380.804785%
\Dane\ATSP\kro100p.txt
 36230,194739,0.032198,437.507590%
36230,210030,0.032308,479.712945%
36230,184252,0.031939,408.561965%
36230,208998,0.032858,476.864477%
\Dane\ATSP\ftv170.txt
 2755,26121,0.049570,848.130672%
2755,27218,0.049622,887.949183%
2755,25601,0.049040,829.255898%
2755,26975,0.049723,879.128857%
\Dane\TSP\rat99.txt
 1211,7627,0.047965,529.810074%
1211,8655,0.048697,614.698596%
1211,8292,0.048159,584.723369%
1211,8111,0.048165,569.777044%
\Dane\TSP\pr152.txt
 73682,1130659,0.068089,1434.511821%
73682,1057049,0.067732,1334.609538%
73682,1112547,0.068263,1409.930512%
73682,1029704,0.067230,1297.497353%
\Dane\TSP\ts225.txt
 126643,1528017,0.094874,1106.554646%
126643,1628162,0.094204,1185.631263%
126643,1565131,0.094993,1135.860648%
126643,1603363,0.094473,1166.049446%
\Dane\TSP\pr264.txt
 49135,1108080,0.109888,2155.174519%
49135,1205865,0.121029,2354.187443%
49135,979254,0.120770,1892.986669%
49135,1071142,0.122822,2079.997965%
\Dane\ATSP\ftv33.txt
 1286,4411,0.023537,243.001555%
1286,3860,0.023359,200.155521%
1286,3704,0.023504,188.024883%
1286,4509,0.023611,250.622084%
\Dane\ATSP\ftv64.txt
 1839,8553,0.034870,365.089723%
1839,8347,0.034717,353.887983%
1839,9171,0.034631,398.694943%
1839,9034,0.034690,391.245242%
\Dane\ATSP\kro100p.txt
 36230,179034,0.048515,394.159536%
36230,188137,0.048119,419.285123%
36230,193821,0.047781,434.973779%
36230,190213,0.048666,425.015181%
\Dane\ATSP\ftv170.txt
 2755,25473,0.084275,824.609800%
2755,26223,0.073783,851.833031%
2755,25880,0.074267,839.382940%
2755,26405,0.074286,858.439201%
\Dane\TSP\rat99.txt
 1211,8412,0.063311,594.632535%
1211,8051,0.063670,564.822461%
1211,8681,0.063756,616.845582%
1211,8299,0.063264,585.301404%
\Dane\TSP\pr152.txt
 73682,1138778,0.089777,1445.530794%
73682,1138486,0.090170,1445.134497%
73682,1104935,0.089842,1399.599631%
73682,1054497,0.089483,1331.146006%
\Dane\TSP\ts225.txt
 126643,1579670,0.127408,1147.340951%
126643,1543316,0.126039,1118.635061%
126643,1594232,0.126341,1158.839415%
126643,1647445,0.126562,1200.857529%
\Dane\TSP\pr264.txt
 49135,1110602,0.145811,2160.307317%
49135,1120461,0.145960,2180.372443%
49135,1081928,0.145673,2101.949730%
49135,1189566,0.145977,2321.015569%
\Dane\ATSP\ftv33.txt
 1286,4519,0.031307,251.399689%
1286,4138,0.031569,221.772939%
1286,3780,0.031518,193.934681%
1286,4000,0.031234,211.041991%
\Dane\ATSP\ftv64.txt
 1839,8534,0.046251,364.056552%
1839,8514,0.046267,362.969005%
1839,9108,0.046425,395.269168%
1839,8976,0.046080,388.091354%
\Dane\ATSP\kro100p.txt
 36230,177953,0.064035,391.175821%
36230,186028,0.064250,413.463980%
36230,196150,0.063604,441.402153%
36230,190357,0.064387,425.412641%
\Dane\ATSP\ftv170.txt
 2755,25593,0.098518,828.965517%
2755,26279,0.098374,853.865699%
2755,24932,0.098567,804.972777%
2755,26885,0.098451,875.862069%
\Dane\TSP\rat99.txt
 1211,7985,0.079419,559.372419%
1211,7778,0.079751,542.279108%
1211,9099,0.079572,651.362510%
1211,8713,0.079543,619.488026%
\Dane\TSP\pr152.txt
 73682,1087521,0.112383,1375.965636%
73682,1065453,0.112524,1346.015309%
73682,1128171,0.112615,1431.135148%
73682,1094138,0.112445,1384.946120%
\Dane\TSP\ts225.txt
 126643,1575211,0.159262,1143.820030%
126643,1570295,0.157704,1139.938252%
126643,1515645,0.157687,1096.785452%
126643,1634840,0.159262,1190.904353%
\Dane\TSP\pr264.txt
 49135,1074612,0.182543,2087.060140%
49135,1166079,0.202319,2273.214613%
49135,1132719,0.202252,2205.320037%
49135,1161473,0.204741,2263.840440%
\Dane\ATSP\ftv33.txt
 1286,4139,0.039291,221.850700%
1286,3578,0.039193,178.227061%
1286,4099,0.038957,218.740280%
1286,4494,0.039208,249.455677%
\Dane\ATSP\ftv64.txt
 1839,8773,0.058026,377.052746%
1839,8886,0.057638,383.197390%
1839,8831,0.057790,380.206634%
1839,8944,0.058017,386.351278%
\Dane\ATSP\kro100p.txt
 36230,178216,0.079626,391.901739%
36230,185114,0.080136,410.941209%
36230,188072,0.079831,419.105713%
36230,189949,0.079970,424.286503%
\Dane\ATSP\ftv170.txt
 2755,26449,0.123149,860.036298%
2755,25441,0.122357,823.448276%
2755,27668,0.114758,904.283122%
2755,25559,0.114971,827.731397%
