Optymalny wynik,Otrzymany wynik,Czas wykonania,Blad wzgledny (procentowo)
\Dane\TSP\rat99.txt
 1211,8672,0.032073,616.102395%
1211,8626,0.031678,612.303881%
1211,7716,0.031657,537.159372%
1211,8372,0.031670,591.329480%
\Dane\TSP\pr152.txt
 73682,1069008,0.045128,1350.840097%
73682,1074527,0.046607,1358.330393%
73682,1023603,0.044898,1289.217177%
73682,1044701,0.045028,1317.851036%
\Dane\TSP\ts225.txt
 126643,1619037,0.064838,1178.425969%
126643,1538458,0.063639,1114.799081%
126643,1591193,0.063319,1156.439756%
126643,1511259,0.063545,1093.322173%
\Dane\TSP\pr264.txt
 49135,1027595,0.073656,1991.370713%
49135,1165328,0.073390,2271.686171%
49135,1036028,0.074552,2008.533632%
49135,1108447,0.074638,2155.921441%
\Dane\ATSP\ftv33.txt
 1286,4459,0.015767,246.734059%
1286,4073,0.015716,216.718507%
1286,4346,0.015529,237.947123%
1286,4176,0.015602,224.727838%
\Dane\ATSP\ftv64.txt
 1839,8921,0.022949,385.100598%
1839,9158,0.023111,397.988037%
1839,8612,0.023266,368.297988%
1839,8801,0.023323,378.575313%
\Dane\ATSP\kro100p.txt
 36230,197175,0.031451,444.231300%
36230,175717,0.030429,385.004140%
36230,177585,0.030242,390.160088%
36230,186609,0.029888,415.067624%
\Dane\ATSP\ftv170.txt
 2755,25939,0.045870,841.524501%
2755,26851,0.045763,874.627949%
2755,27018,0.045832,880.689655%
2755,27266,0.045676,889.691470%
