Optymalny wynik,Otrzymany wynik,Czas wykonania,Blad wzgledny (procentowo)
\Dane\TSP\rat99.txt
 1211,8331,0.029616,587.943848%
1211,8492,0.029467,601.238646%
1211,7888,0.029116,551.362510%
1211,8211,0.029062,578.034682%
\Dane\TSP\pr152.txt
 73682,1085829,0.042409,1373.669282%
73682,1109682,0.042512,1406.042181%
73682,1041546,0.042086,1313.569121%
73682,1042088,0.042590,1314.304715%
\Dane\TSP\ts225.txt
 126643,1561136,0.060490,1132.706111%
126643,1631805,0.061228,1188.507853%
126643,1623767,0.061067,1182.160877%
126643,1672510,0.061226,1220.649384%
\Dane\TSP\pr264.txt
 49135,1091463,0.078927,2121.355449%
49135,1103195,0.076888,2145.232523%
49135,1091348,0.077808,2121.121400%
49135,1123730,0.077005,2187.025542%
\Dane\ATSP\ftv33.txt
 1286,4643,0.013153,261.041991%
1286,3816,0.013270,196.734059%
1286,3970,0.013181,208.709176%
1286,4193,0.013103,226.049767%
\Dane\ATSP\ftv64.txt
 1839,8441,0.020752,358.999456%
1839,9439,0.020409,413.268080%
1839,9108,0.020502,395.269168%
1839,9017,0.020406,390.320827%
\Dane\ATSP\kro100p.txt
 36230,186449,0.029343,414.626001%
36230,191073,0.029432,427.388904%
36230,191337,0.029289,428.117582%
36230,199938,0.029100,451.857577%
\Dane\ATSP\ftv170.txt
 2755,27229,0.046809,888.348457%
2755,26031,0.046352,844.863884%
2755,26823,0.047173,873.611615%
2755,25032,0.046663,808.602541%
