Optymalny wynik,Otrzymany wynik,Czas wykonania,Blad wzgledny (procentowo)
Swap,Insert
\Dane\TSP\rat99.txt
 1211,8313,0.029443,586.457473%
1211,9013,0.029236,644.260941%
1211,7800,0.029078,544.095789%
1211,8566,0.028991,607.349298%
\Dane\TSP\pr152.txt
 73682,1058175,0.042495,1336.137727%
73682,999591,0.041973,1256.628485%
73682,1026285,0.042069,1292.857143%
73682,1028369,0.041990,1295.685513%
\Dane\TSP\ts225.txt
 126643,1576324,0.059688,1144.698878%
126643,1653866,0.060501,1205.927686%
126643,1599467,0.060223,1162.973082%
126643,1484675,0.060326,1072.330883%
\Dane\TSP\pr264.txt
 49135,1139771,0.077487,2219.672331%
49135,1078690,0.077489,2095.359723%
49135,1197748,0.077866,2337.667650%
49135,1097011,0.081444,2132.646789%
\Dane\ATSP\ftv33.txt
 1286,4437,0.013490,245.023328%
1286,4322,0.013368,236.080871%
1286,4084,0.013327,217.573872%
1286,3908,0.013331,203.888025%
\Dane\ATSP\ftv64.txt
 1839,8691,0.020716,372.593801%
1839,9002,0.020531,389.505166%
1839,9022,0.020586,390.592713%
1839,8865,0.020732,382.055465%
\Dane\ATSP\kro100p.txt
 36230,191574,0.030599,428.771736%
36230,182089,0.029657,402.591775%
36230,182215,0.029442,402.939553%
36230,207137,0.029264,471.727850%
\Dane\ATSP\ftv170.txt
 2755,27220,0.046994,888.021779%
2755,27139,0.046486,885.081670%
2755,26272,0.046823,853.611615%
2755,25155,0.046798,813.067151%
\Dane\TSP\rat99.txt
 1211,8672,0.032073,616.102395%
1211,8626,0.031678,612.303881%
1211,7716,0.031657,537.159372%
1211,8372,0.031670,591.329480%
\Dane\TSP\pr152.txt
 73682,1069008,0.045128,1350.840097%
73682,1074527,0.046607,1358.330393%
73682,1023603,0.044898,1289.217177%
73682,1044701,0.045028,1317.851036%
\Dane\TSP\ts225.txt
 126643,1619037,0.064838,1178.425969%
126643,1538458,0.063639,1114.799081%
126643,1591193,0.063319,1156.439756%
126643,1511259,0.063545,1093.322173%
\Dane\TSP\pr264.txt
 49135,1027595,0.073656,1991.370713%
49135,1165328,0.073390,2271.686171%
49135,1036028,0.074552,2008.533632%
49135,1108447,0.074638,2155.921441%
\Dane\ATSP\ftv33.txt
 1286,4459,0.015767,246.734059%
1286,4073,0.015716,216.718507%
1286,4346,0.015529,237.947123%
1286,4176,0.015602,224.727838%
\Dane\ATSP\ftv64.txt
 1839,8921,0.022949,385.100598%
1839,9158,0.023111,397.988037%
1839,8612,0.023266,368.297988%
1839,8801,0.023323,378.575313%
\Dane\ATSP\kro100p.txt
 36230,197175,0.031451,444.231300%
36230,175717,0.030429,385.004140%
36230,177585,0.030242,390.160088%
36230,186609,0.029888,415.067624%
\Dane\ATSP\ftv170.txt
 2755,25939,0.045870,841.524501%
2755,26851,0.045763,874.627949%
2755,27018,0.045832,880.689655%
2755,27266,0.045676,889.691470%
