Optymalny wynik,Otrzymany wynik,Czas wykonania,Blad wzgledny (procentowo)
\Dane\TSP\rat99.txt
 1211,8638,0.006841,613.294798%
1211,9070,0.006760,648.967795%
1211,8562,0.006545,607.018993%
1211,7905,0.006423,552.766309%
\Dane\TSP\pr152.txt
 73682,1027943,0.009082,1295.107353%
73682,1096435,0.009065,1388.063570%
73682,971346,0.009176,1218.294835%
73682,1068454,0.009224,1350.088217%
\Dane\TSP\ts225.txt
 126643,1586026,0.012871,1152.359783%
126643,1603741,0.012740,1166.347923%
126643,1616649,0.012746,1176.540354%
126643,1576258,0.012826,1144.646763%
\Dane\TSP\pr264.txt
 49135,1097942,0.014825,2134.541569%
49135,1143817,0.014836,2227.906787%
49135,1107761,0.014878,2154.525287%
49135,1168980,0.014944,2279.118754%
\Dane\ATSP\ftv33.txt
 1286,4298,0.003190,234.214619%
1286,4420,0.003178,243.701400%
1286,4483,0.003182,248.600311%
1286,4296,0.003239,234.059098%
\Dane\ATSP\ftv64.txt
 1839,8239,0.004741,348.015226%
1839,8675,0.004802,371.723763%
1839,9608,0.004713,422.457858%
1839,8965,0.004681,387.493203%
\Dane\ATSP\kro100p.txt
 36230,189227,0.006461,422.293679%
36230,190819,0.006562,426.687828%
36230,192159,0.006507,430.386420%
36230,194852,0.006461,437.819487%
\Dane\ATSP\ftv170.txt
 2755,26293,0.009970,854.373866%
2755,26259,0.009984,853.139746%
2755,26196,0.009931,850.852995%
2755,26718,0.009940,869.800363%
\Dane\TSP\rat99.txt
 1211,8500,0.006733,601.899257%
1211,8604,0.006697,610.487201%
1211,8536,0.006685,604.872007%
1211,9150,0.006762,655.573906%
\Dane\TSP\pr152.txt
 73682,1053414,0.009509,1329.676176%
73682,1062962,0.009502,1342.634565%
73682,1093678,0.009480,1384.321815%
73682,1077946,0.009507,1362.970603%
\Dane\TSP\ts225.txt
 126643,1625998,0.013294,1183.922522%
126643,1621958,0.013547,1180.732453%
126643,1550643,0.013389,1124.420615%
126643,1668379,0.013389,1217.387459%
\Dane\TSP\pr264.txt
 49135,1112446,0.015469,2164.060242%
49135,1067433,0.015413,2072.449374%
49135,1148399,0.015388,2237.232116%
49135,1133518,0.015613,2206.946169%
\Dane\ATSP\ftv33.txt
 1286,3738,0.003353,190.668740%
1286,4092,0.003324,218.195956%
1286,3742,0.003317,190.979782%
1286,3904,0.003302,203.576983%
\Dane\ATSP\ftv64.txt
 1839,8109,0.004934,340.946166%
1839,8645,0.004889,370.092442%
1839,9088,0.004916,394.181620%
1839,9354,0.004909,408.646003%
\Dane\ATSP\kro100p.txt
 36230,184400,0.006783,408.970466%
36230,181582,0.006749,401.192382%
36230,191614,0.006777,428.882142%
36230,192531,0.006822,431.413193%
\Dane\ATSP\ftv170.txt
 2755,26081,0.010480,846.678766%
2755,25654,0.010343,831.179673%
2755,26876,0.010443,875.535390%
2755,25267,0.010634,817.132486%
\Dane\TSP\rat99.txt
 1211,8443,0.007059,597.192403%
1211,8732,0.006983,621.056978%
1211,8750,0.007073,622.543353%
1211,8512,0.007178,602.890173%
\Dane\TSP\pr152.txt
 73682,1043939,0.010047,1316.816862%
73682,1025780,0.009666,1292.171765%
73682,1137559,0.009679,1443.876388%
73682,1070744,0.009677,1353.196167%
\Dane\TSP\ts225.txt
 126643,1612771,0.013606,1173.478203%
126643,1566949,0.013676,1137.296179%
126643,1511362,0.013726,1093.403504%
126643,1588885,0.013614,1154.617310%
\Dane\TSP\pr264.txt
 49135,1139195,0.015873,2218.500051%
49135,1100369,0.015766,2139.481022%
49135,1187647,0.015778,2317.110003%
49135,1113332,0.015731,2165.863437%
\Dane\ATSP\ftv33.txt
 1286,4578,0.003413,255.987558%
1286,4163,0.003423,223.716952%
1286,4183,0.003412,225.272162%
1286,4037,0.003412,213.919129%
\Dane\ATSP\ftv64.txt
 1839,9290,0.005093,405.165851%
1839,8994,0.005046,389.070147%
1839,7888,0.005068,328.928766%
1839,8947,0.005008,386.514410%
\Dane\ATSP\kro100p.txt
 36230,174403,0.006914,381.377312%
36230,198626,0.006929,448.236268%
36230,180336,0.007073,397.753243%
36230,202332,0.006925,458.465360%
\Dane\ATSP\ftv170.txt
 2755,27360,0.010617,893.103448%
