Optymalny wynik,Otrzymany wynik,Czas wykonania,Blad wzgledny (procentowo)
\Dane\TSP\rat99.txt
 1211,8313,0.029443,586.457473%
1211,9013,0.029236,644.260941%
1211,7800,0.029078,544.095789%
1211,8566,0.028991,607.349298%
\Dane\TSP\pr152.txt
 73682,1058175,0.042495,1336.137727%
73682,999591,0.041973,1256.628485%
73682,1026285,0.042069,1292.857143%
73682,1028369,0.041990,1295.685513%
\Dane\TSP\ts225.txt
 126643,1576324,0.059688,1144.698878%
126643,1653866,0.060501,1205.927686%
126643,1599467,0.060223,1162.973082%
126643,1484675,0.060326,1072.330883%
\Dane\TSP\pr264.txt
 49135,1139771,0.077487,2219.672331%
49135,1078690,0.077489,2095.359723%
49135,1197748,0.077866,2337.667650%
49135,1097011,0.081444,2132.646789%
\Dane\ATSP\ftv33.txt
 1286,4437,0.013490,245.023328%
1286,4322,0.013368,236.080871%
1286,4084,0.013327,217.573872%
1286,3908,0.013331,203.888025%
\Dane\ATSP\ftv64.txt
 1839,8691,0.020716,372.593801%
1839,9002,0.020531,389.505166%
1839,9022,0.020586,390.592713%
1839,8865,0.020732,382.055465%
\Dane\ATSP\kro100p.txt
 36230,191574,0.030599,428.771736%
36230,182089,0.029657,402.591775%
36230,182215,0.029442,402.939553%
36230,207137,0.029264,471.727850%
\Dane\ATSP\ftv170.txt
 2755,27220,0.046994,888.021779%
2755,27139,0.046486,885.081670%
2755,26272,0.046823,853.611615%
2755,25155,0.046798,813.067151%
