Optymalny wynik,Otrzymany wynik,Czas wykonania,Blad wzgledny (procentowo)
\Dane\TSP\rat99.txt
 1211,1297,0.502738,7.101569%
1211,1323,0.503031,9.248555%
1211,1321,0.501538,9.083402%
1211,1370,0.503817,13.129645%
\Dane\TSP\pr152.txt
 73682,79564,0.500686,7.982954%
73682,79564,0.507589,7.982954%
73682,79564,0.511899,7.982954%
73682,79564,0.507379,7.982954%
\Dane\TSP\ts225.txt
 126643,140486,0.515799,10.930727%
126643,136018,0.513756,7.402699%
126643,139576,0.512601,10.212171%
126643,140486,0.515094,10.930727%
\Dane\TSP\pr264.txt
 49135,54491,0.547099,10.900580%
49135,54491,0.551748,10.900580%
49135,54491,0.559776,10.900580%
49135,54491,0.557688,10.900580%
