Optymalny wynik,Otrzymany wynik,Czas wykonania,Blad wzgledny (procentowo)
\Dane\TSP\rat99.txt
 1211,1322,0.503229,9.165979%
1211,1321,0.501168,9.083402%
1211,1323,0.500690,9.248555%
1211,1311,0.500191,8.257638%
\Dane\TSP\pr152.txt
 73682,79564,0.502409,7.982954%
73682,79564,0.502742,7.982954%
73682,79507,0.502800,7.905594%
73682,78216,0.501457,6.153470%
\Dane\TSP\ts225.txt
 126643,133591,0.553780,5.486288%
126643,138553,0.556280,9.404389%
126643,132877,0.554527,4.922499%
126643,132949,0.556497,4.979351%
\Dane\TSP\pr264.txt
 49135,54491,0.530414,10.900580%
49135,54491,0.530126,10.900580%
49135,54491,0.530395,10.900580%
49135,54491,0.539299,10.900580%
\Dane\ATSP\ftv33.txt
 1286,1286,0.500052,0.000000%
1286,1286,0.500006,0.000000%
1286,1286,0.500007,0.000000%
1286,1286,0.500050,0.000000%
\Dane\ATSP\ftv64.txt
 1839,1923,0.500686,4.567700%
1839,1923,0.500293,4.567700%
1839,1969,0.500428,7.069059%
1839,1923,0.500251,4.567700%
\Dane\ATSP\kro100p.txt
 36230,40374,0.502484,11.438035%
36230,39558,0.502586,9.185758%
36230,40792,0.501764,12.591775%
36230,40089,0.502408,10.651394%
\Dane\ATSP\ftv170.txt
 2755,3318,0.508537,20.435572%
2755,3375,0.508976,22.504537%
2755,3330,0.508120,20.871143%
2755,3362,0.506007,22.032668%
