Optymalny wynik,Otrzymany wynik,Czas wykonania,Blad wzgledny (procentowo)
//Dane//ATSP//ftv170.txt
 1211,1425,0.000738,17.671346%
//Dane//TSP//rat99.txt
 73682,79257,0.000804,7.566298%
//Dane//TSP//pr152.txt
 126643,140193,0.002443,10.699368%
//Dane//TSP//ts225.txt
 49135,53748,0.003881,9.388420%
//Dane//TSP//pr264.txt
 1286,1506,0.000504,17.107309%
//Dane//ATSP//ftv33.txt
 1839,2201,0.000538,19.684611%
//Dane//ATSP//ftv64.txt
 36230,2225,0.000505,93.858681%
//Dane//ATSP//ftv170.txt
 1211,1425,0.000733,17.671346%
//Dane//TSP//rat99.txt
 73682,79295,0.000799,7.617871%
//Dane//TSP//pr152.txt
 126643,140007,0.002435,10.552498%
//Dane//TSP//ts225.txt
 49135,53748,0.003879,9.388420%
//Dane//TSP//pr264.txt
 1286,1464,0.000501,13.841369%
//Dane//ATSP//ftv33.txt
 1839,2184,0.000527,18.760196%
//Dane//ATSP//ftv64.txt
 36230,2162,0.000502,94.032570%
//Dane//ATSP//ftv170.txt
 1211,1425,0.000732,17.671346%
//Dane//TSP//rat99.txt
 73682,79459,0.000812,7.840449%
//Dane//TSP//pr152.txt
 126643,140007,0.002433,10.552498%
//Dane//TSP//ts225.txt
 49135,53844,0.003875,9.583800%
//Dane//TSP//pr264.txt
 1286,1489,0.000506,15.785381%
//Dane//ATSP//ftv33.txt
 1839,2184,0.000526,18.760196%
//Dane//ATSP//ftv64.txt
 36230,2169,0.000505,94.013249%
//Dane//ATSP//ftv170.txt
 1211,1431,0.000730,18.166804%
//Dane//TSP//rat99.txt
 73682,79459,0.000817,7.840449%
//Dane//TSP//pr152.txt
 126643,140193,0.002424,10.699368%
//Dane//TSP//ts225.txt
 49135,53883,0.003893,9.663173%
//Dane//TSP//pr264.txt
 1286,1504,0.000502,16.951788%
//Dane//ATSP//ftv33.txt
 1839,2179,0.000525,18.488309%
//Dane//ATSP//ftv64.txt
 36230,2162,0.000504,94.032570%
//Dane//ATSP//ftv170.txt
 1211,1431,0.000731,18.166804%
//Dane//TSP//rat99.txt
 73682,79257,0.000805,7.566298%
//Dane//TSP//pr152.txt
 126643,140007,0.002632,10.552498%
//Dane//TSP//ts225.txt
 49135,53748,0.004041,9.388420%
//Dane//TSP//pr264.txt
 1286,1464,0.000501,13.841369%
//Dane//ATSP//ftv33.txt
 1839,2161,0.000538,17.509516%
//Dane//ATSP//ftv64.txt
 36230,2169,0.000530,94.013249%
