Optymalny wynik,Otrzymany wynik,Czas wykonania,Blad wzgledny (procentowo)
//Dane//TSP//rat99.txt
 1211,1425,0.500001,17.671346%
1211,1425,0.500026,17.671346%
1211,1425,0.500073,17.671346%
1211,1425,0.500091,17.671346%
//Dane//TSP//pr152.txt
 73682,79395,0.500068,7.753590%
73682,79395,0.500511,7.753590%
73682,79395,0.500289,7.753590%
73682,79395,0.500312,7.753590%
//Dane//TSP//ts225.txt
 126643,140486,0.501280,10.930727%
126643,140486,0.500096,10.930727%
126643,140486,0.500161,10.930727%
126643,140486,0.500379,10.930727%
//Dane//TSP//pr264.txt
 49135,54395,0.501841,10.705200%
49135,54395,0.500751,10.705200%
49135,54395,0.500177,10.705200%
49135,54395,0.502098,10.705200%
//Dane//ATSP//ftv33.txt
 1286,1504,0.500002,16.951788%
1286,1504,0.500001,16.951788%
1286,1504,0.500009,16.951788%
1286,1504,0.500004,16.951788%
//Dane//ATSP//ftv64.txt
 1839,2184,0.500029,18.760196%
1839,2184,0.500015,18.760196%
1839,2184,0.500023,18.760196%
1839,2184,0.500038,18.760196%
//Dane//ATSP//kro100p.txt
 36230,43062,0.500123,18.857301%
36230,43062,0.500041,18.857301%
36230,43062,0.500184,18.857301%
36230,43062,0.500051,18.857301%
\Dane\ATSP\ftv170.txt
 2755,3587,0.500369,30.199637%
2755,3587,0.500293,30.199637%
2755,3587,0.500497,30.199637%
2755,3587,0.500762,30.199637%
//Dane//TSP//rat99.txt
 1211,1425,0.500118,17.671346%
1211,1425,0.500088,17.671346%
1211,1425,0.500117,17.671346%
1211,1428,0.500082,17.919075%
//Dane//TSP//pr152.txt
 73682,79439,0.500116,7.813306%
73682,79459,0.500195,7.840449%
73682,79257,0.500543,7.566298%
73682,79532,0.500418,7.939524%
//Dane//TSP//ts225.txt
 126643,140193,0.501587,10.699368%
126643,140007,0.501770,10.552498%
126643,140193,0.501843,10.699368%
126643,140193,0.500358,10.699368%
//Dane//TSP//pr264.txt
 49135,53962,0.500134,9.823954%
49135,53844,0.500040,9.583800%
49135,53883,0.500751,9.663173%
49135,53844,0.503312,9.583800%
//Dane//ATSP//ftv33.txt
 1286,1483,0.500003,15.318818%
1286,1504,0.500002,16.951788%
1286,1510,0.500001,17.418351%
1286,1464,0.500003,13.841369%
//Dane//ATSP//ftv64.txt
 1839,2175,0.500065,18.270799%
1839,2184,0.500025,18.760196%
1839,2182,0.500071,18.651441%
1839,2184,0.500029,18.760196%
//Dane//ATSP//kro100p.txt
 36230,42871,0.500050,18.330113%
36230,42354,0.500133,16.903119%
36230,42354,0.500181,16.903119%
36230,42871,0.500028,18.330113%
\Dane\ATSP\ftv170.txt
 2755,3626,0.500227,31.615245%
2755,3598,0.500770,30.598911%
2755,3600,0.500339,30.671506%
2755,3580,0.500517,29.945554%
