Optymalny wynik,Otrzymany wynik,Czas wykonania,Blad wzgledny (procentowo)
//Dane//TSP//rat99.txt
 1211,1425,0.500086,17.671346%
1211,1425,0.500114,17.671346%
1211,1425,0.500030,17.671346%
1211,1425,0.500008,17.671346%
//Dane//TSP//pr152.txt
 73682,79395,0.500370,7.753590%
73682,79395,0.500636,7.753590%
73682,79395,0.500231,7.753590%
73682,79395,0.500539,7.753590%
//Dane//TSP//ts225.txt
 126643,140486,0.500832,10.930727%
126643,140486,0.501672,10.930727%
126643,140486,0.502044,10.930727%
126643,140486,0.501843,10.930727%
//Dane//TSP//pr264.txt
 49135,54395,0.500552,10.705200%
49135,54395,0.500441,10.705200%
49135,54395,0.500954,10.705200%
49135,54395,0.500523,10.705200%
//Dane//ATSP//ftv33.txt
 1286,1504,0.500004,16.951788%
1286,1504,0.500008,16.951788%
1286,1504,0.500007,16.951788%
1286,1504,0.500007,16.951788%
//Dane//ATSP//ftv64.txt
 1839,2184,0.500004,18.760196%
1839,2184,0.500024,18.760196%
1839,2184,0.500053,18.760196%
1839,2184,0.500030,18.760196%
//Dane//ATSP//kro100p.txt
 36230,43062,0.500003,18.857301%
36230,43062,0.500008,18.857301%
36230,43062,0.500011,18.857301%
36230,43062,0.500184,18.857301%
\Dane\ATSP\ftv170.txt
 2755,3587,0.500800,30.199637%
2755,3587,0.500226,30.199637%
2755,3587,0.500076,30.199637%
2755,3587,0.500422,30.199637%
//Dane//TSP//rat99.txt
 1211,6610,0.500093,445.829893%
1211,6596,0.500046,444.673823%
1211,6411,0.500184,429.397192%
1211,6358,0.500156,425.020644%
//Dane//TSP//pr152.txt
 73682,892036,0.500032,1110.656605%
73682,890054,0.500564,1107.966668%
73682,892189,0.500575,1110.864254%
73682,901512,0.500217,1123.517277%
//Dane//TSP//ts225.txt
 126643,1418987,0.500109,1020.462244%
126643,1420938,0.500830,1022.002795%
126643,1460458,0.500429,1053.208626%
126643,1444218,0.500895,1040.385177%
//Dane//TSP//pr264.txt
 49135,982170,0.502846,1898.921339%
49135,1006720,0.500606,1948.885723%
49135,985215,0.500449,1905.118551%
49135,998598,0.500476,1932.355755%
//Dane//ATSP//ftv33.txt
 1286,2334,0.500006,81.493002%
1286,2395,0.500002,86.236392%
1286,2409,0.500003,87.325039%
1286,2245,0.500001,74.572317%
//Dane//ATSP//ftv64.txt
 1839,6357,0.500048,245.676998%
1839,6641,0.500042,261.120174%
1839,6624,0.500021,260.195759%
1839,6586,0.500005,258.129418%
//Dane//ATSP//kro100p.txt
 36230,153575,0.500023,323.889042%
36230,151368,0.500130,317.797405%
36230,151516,0.500002,318.205907%
36230,150041,0.500041,314.134695%
\Dane\ATSP\ftv170.txt
 2755,22743,0.500294,725.517241%
2755,22537,0.500394,718.039927%
2755,23062,0.500749,737.096189%
2755,23142,0.500905,740.000000%
