Optymalny wynik,Otrzymany wynik,Czas wykonania,Blad wzgledny (procentowo)
//Dane//TSP//rat99.txt
 1211,1425,0.500001,17.671346%
1211,1425,0.500026,17.671346%
1211,1425,0.500073,17.671346%
1211,1425,0.500091,17.671346%
//Dane//TSP//pr152.txt
 73682,79395,0.500068,7.753590%
73682,79395,0.500511,7.753590%
73682,79395,0.500289,7.753590%
73682,79395,0.500312,7.753590%
//Dane//TSP//ts225.txt
 126643,140486,0.501280,10.930727%
126643,140486,0.500096,10.930727%
126643,140486,0.500161,10.930727%
126643,140486,0.500379,10.930727%
//Dane//TSP//pr264.txt
 49135,54395,0.501841,10.705200%
49135,54395,0.500751,10.705200%
49135,54395,0.500177,10.705200%
49135,54395,0.502098,10.705200%
//Dane//ATSP//ftv33.txt
 1286,1504,0.500002,16.951788%
1286,1504,0.500001,16.951788%
1286,1504,0.500009,16.951788%
1286,1504,0.500004,16.951788%
//Dane//ATSP//ftv64.txt
 1839,2184,0.500029,18.760196%
1839,2184,0.500015,18.760196%
1839,2184,0.500023,18.760196%
1839,2184,0.500038,18.760196%
//Dane//ATSP//kro100p.txt
 36230,43062,0.500123,18.857301%
36230,43062,0.500041,18.857301%
36230,43062,0.500184,18.857301%
36230,43062,0.500051,18.857301%
\Dane\ATSP\ftv170.txt
 2755,3587,0.500369,30.199637%
2755,3587,0.500293,30.199637%
2755,3587,0.500497,30.199637%
2755,3587,0.500762,30.199637%
