Optymalny wynik,Otrzymany wynik,Czas wykonania,Blad wzgledny (procentowo)
//Dane//TSP//rat99.txt
 1211,1425,0.500135,17.671346%
1211,1431,0.500156,18.166804%
1211,1431,0.500132,18.166804%
1211,1431,0.500182,18.166804%
//Dane//TSP//pr152.txt
 73682,79257,0.500601,7.566298%
73682,79439,0.500069,7.813306%
73682,79257,0.500534,7.566298%
73682,79257,0.500510,7.566298%
//Dane//TSP//ts225.txt
 126643,140193,0.501888,10.699368%
126643,140007,0.501145,10.552498%
126643,140193,0.501646,10.699368%
126643,140007,0.500240,10.552498%
//Dane//TSP//pr264.txt
 49135,53962,0.500195,9.823954%
49135,53844,0.502774,9.583800%
49135,53844,0.500220,9.583800%
49135,53962,0.500075,9.823954%
//Dane//ATSP//ftv33.txt
 1286,1464,0.500011,13.841369%
1286,1489,0.500002,15.785381%
1286,1464,0.500003,13.841369%
1286,1464,0.500003,13.841369%
//Dane//ATSP//ftv64.txt
 1839,2179,0.500042,18.488309%
1839,2201,0.500057,19.684611%
1839,2184,0.500016,18.760196%
1839,2179,0.500013,18.488309%
//Dane//ATSP//kro100p.txt
 36230,42354,0.500024,16.903119%
36230,42354,0.500124,16.903119%
36230,42354,0.500209,16.903119%
36230,43062,0.500203,18.857301%
\Dane\ATSP\ftv170.txt
 2755,3587,0.500345,30.199637%
2755,3587,0.500597,30.199637%
2755,3587,0.500953,30.199637%
2755,3587,0.500040,30.199637%
//Dane//TSP//rat99.txt
 1211,1425,0.500054,17.671346%
1211,1431,0.500053,18.166804%
1211,1425,0.500163,17.671346%
1211,1425,0.500034,17.671346%
//Dane//TSP//pr152.txt
 73682,79257,0.500169,7.566298%
73682,79257,0.500067,7.566298%
73682,79459,0.500490,7.840449%
73682,79459,0.500192,7.840449%
//Dane//TSP//ts225.txt
 126643,140007,0.500851,10.552498%
126643,140193,0.500523,10.699368%
126643,140193,0.500038,10.699368%
126643,140193,0.501175,10.699368%
//Dane//TSP//pr264.txt
 49135,53748,0.503151,9.388420%
49135,53748,0.502220,9.388420%
49135,53748,0.502976,9.388420%
49135,53883,0.501353,9.663173%
//Dane//ATSP//ftv33.txt
 1286,1464,0.500004,13.841369%
1286,1464,0.500002,13.841369%
1286,1443,0.500004,12.208398%
1286,1464,0.500005,13.841369%
//Dane//ATSP//ftv64.txt
 1839,2179,0.500060,18.488309%
1839,2179,0.500040,18.488309%
1839,2184,0.500029,18.760196%
1839,2179,0.500034,18.488309%
//Dane//ATSP//kro100p.txt
 36230,43040,0.500236,18.796577%
36230,42871,0.500089,18.330113%
36230,43062,0.500031,18.857301%
36230,42354,0.500107,16.903119%
\Dane\ATSP\ftv170.txt
 2755,3587,0.500410,30.199637%
2755,3587,0.500650,30.199637%
2755,3587,0.500465,30.199637%
2755,3587,0.500692,30.199637%
