Optymalny wynik,Optymalna scieżka,Otrzymany wynik,Otrzymana scieżka,Czas wykonania,Blad bezwzgledny,Blad wzgledny (liczbowo),Blad wzgledny (procentowo)
\Dane\SYM30\GRAF8_30.txt, dfs,false
30867,,29723,1-7-4-5-3-2-8-6-1,185900.000000,1144.000000,0.037062,3.706223%
30867,,29723,1-7-4-5-3-2-8-6-1,187800.000000,1144.000000,0.037062,3.706223%
30867,,29723,1-7-4-5-3-2-8-6-1,185000.000000,1144.000000,0.037062,3.706223%
30867,,29723,1-7-4-5-3-2-8-6-1,185400.000000,1144.000000,0.037062,3.706223%
30867,,29723,1-7-4-5-3-2-8-6-1,185500.000000,1144.000000,0.037062,3.706223%
30867,,29723,1-7-4-5-3-2-8-6-1,185500.000000,1144.000000,0.037062,3.706223%
30867,,29723,1-7-4-5-3-2-8-6-1,185500.000000,1144.000000,0.037062,3.706223%
30867,,29723,1-7-4-5-3-2-8-6-1,187500.000000,1144.000000,0.037062,3.706223%
30867,,29723,1-7-4-5-3-2-8-6-1,188800.000000,1144.000000,0.037062,3.706223%
30867,,29723,1-7-4-5-3-2-8-6-1,186600.000000,1144.000000,0.037062,3.706223%
\Dane\SYM30\GRAF9_30.txt, dfs,false
23923,,23923,1-5-6-4-7-3-8-9-2-1,363700.000000,0.000000,0.000000,0.000000%
23923,,23923,1-5-6-4-7-3-8-9-2-1,361700.000000,0.000000,0.000000,0.000000%
23923,,23923,1-5-6-4-7-3-8-9-2-1,361400.000000,0.000000,0.000000,0.000000%
23923,,23923,1-5-6-4-7-3-8-9-2-1,361800.000000,0.000000,0.000000,0.000000%
23923,,23923,1-5-6-4-7-3-8-9-2-1,360500.000000,0.000000,0.000000,0.000000%
23923,,23923,1-5-6-4-7-3-8-9-2-1,363700.000000,0.000000,0.000000,0.000000%
23923,,23923,1-5-6-4-7-3-8-9-2-1,366300.000000,0.000000,0.000000,0.000000%
23923,,23923,1-5-6-4-7-3-8-9-2-1,362700.000000,0.000000,0.000000,0.000000%
23923,,23923,1-5-6-4-7-3-8-9-2-1,361000.000000,0.000000,0.000000,0.000000%
23923,,23923,1-5-6-4-7-3-8-9-2-1,364500.000000,0.000000,0.000000,0.000000%
\Dane\SYM30\GRAF10_30.txt, dfs,false
24562,,24562,1-10-7-6-4-9-2-3-5-8-1,106800.000000,0.000000,0.000000,0.000000%
24562,,24562,1-10-7-6-4-9-2-3-5-8-1,105100.000000,0.000000,0.000000,0.000000%
24562,,24562,1-10-7-6-4-9-2-3-5-8-1,107000.000000,0.000000,0.000000,0.000000%
24562,,24562,1-10-7-6-4-9-2-3-5-8-1,104200.000000,0.000000,0.000000,0.000000%
24562,,24562,1-10-7-6-4-9-2-3-5-8-1,104800.000000,0.000000,0.000000,0.000000%
24562,,24562,1-10-7-6-4-9-2-3-5-8-1,107000.000000,0.000000,0.000000,0.000000%
24562,,24562,1-10-7-6-4-9-2-3-5-8-1,107100.000000,0.000000,0.000000,0.000000%
24562,,24562,1-10-7-6-4-9-2-3-5-8-1,104500.000000,0.000000,0.000000,0.000000%
24562,,24562,1-10-7-6-4-9-2-3-5-8-1,104400.000000,0.000000,0.000000,0.000000%
24562,,24562,1-10-7-6-4-9-2-3-5-8-1,104100.000000,0.000000,0.000000,0.000000%
\Dane\SYM30\GRAF11_30.txt, dfs,false
40077,,40077,1-5-6-11-7-3-9-8-10-2-4-1,469200.000000,0.000000,0.000000,0.000000%
40077,,40077,1-5-6-11-7-3-9-8-10-2-4-1,470000.000000,0.000000,0.000000,0.000000%
40077,,40077,1-5-6-11-7-3-9-8-10-2-4-1,469000.000000,0.000000,0.000000,0.000000%
40077,,40077,1-5-6-11-7-3-9-8-10-2-4-1,466400.000000,0.000000,0.000000,0.000000%
40077,,40077,1-5-6-11-7-3-9-8-10-2-4-1,467700.000000,0.000000,0.000000,0.000000%
40077,,40077,1-5-6-11-7-3-9-8-10-2-4-1,470100.000000,0.000000,0.000000,0.000000%
40077,,40077,1-5-6-11-7-3-9-8-10-2-4-1,469500.000000,0.000000,0.000000,0.000000%
40077,,40077,1-5-6-11-7-3-9-8-10-2-4-1,469900.000000,0.000000,0.000000,0.000000%
40077,,40077,1-5-6-11-7-3-9-8-10-2-4-1,470800.000000,0.000000,0.000000,0.000000%
40077,,40077,1-5-6-11-7-3-9-8-10-2-4-1,467800.000000,0.000000,0.000000,0.000000%
\Dane\SYM30\GRAF12_30.txt, dfs,false
39712,,39712,1-8-10-12-4-2-9-3-7-11-6-5-1,247100.000000,0.000000,0.000000,0.000000%
39712,,39712,1-8-10-12-4-2-9-3-7-11-6-5-1,247200.000000,0.000000,0.000000,0.000000%
39712,,39712,1-8-10-12-4-2-9-3-7-11-6-5-1,246400.000000,0.000000,0.000000,0.000000%
39712,,39712,1-8-10-12-4-2-9-3-7-11-6-5-1,244200.000000,0.000000,0.000000,0.000000%
39712,,39712,1-8-10-12-4-2-9-3-7-11-6-5-1,245300.000000,0.000000,0.000000,0.000000%
